PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
271	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
272	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
273	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
274	0.005377	3.054320	-7.377759	0.000000	-5.991465	-144.863433
275	0.020645	2.493773	-7.377759	0.000000	-5.991465	-144.863433
276	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
277	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
278	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
279	0.139690	2.909012	-7.377759	0.000000	-5.991465	-144.863433
280	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
281	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
282	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
283	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
284	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
285	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
286	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
287	-0.019941	1.008146	-7.377759	0.000000	-5.991465	-144.863433
288	-0.186995	1.334130	-7.377759	0.000000	-5.991465	-144.863433
289	0.000000	-14.270089	-7.377759	0.000000	-5.991465	-144.863433
290	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
291	-0.028929	2.656480	-7.244228	0.000000	-4.605170	-53.834924
292	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
293	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
294	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
295	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
296	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
297	-0.023064	9.101139	-7.244228	0.000000	-4.605170	-53.834924
298	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
299	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
300	6.256083	-618.508497	-7.244228	0.000000	-4.605170	-53.834924
301	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
302	-0.023064	-661.363915	-7.244228	0.000000	-4.605170	-53.834924
303	0.472257	2.150587	-7.244228	0.000000	-4.605170	-53.834924
304	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
305	0.309760	2.084296	-6.684612	0.000000	-4.605170	-522.361345
306	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
307	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
308	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
309	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
310	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
311	-0.288077	-0.994478	-6.684612	0.000000	-4.605170	-522.361345
312	0.142706	2.490425	-6.684612	0.000000	-4.605170	-522.361345
313	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
314	0.218081	2.343710	-8.188689	0.000000	-4.605170	-37.534507
315	0.079654	2.397939	-8.188689	0.000000	-4.605170	-37.534507
316	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
317	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
318	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
319	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
320	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
321	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
322	0.617237	0.528218	-8.188689	0.000000	-4.605170	-37.534507
323	0.026368	2.358966	-8.188689	0.000000	-4.605170	-37.534507
324	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
327	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
328	-0.179485	1.822486	-5.991465	0.000000	-4.605170	-19.806974
329	-0.605153	1.153344	-5.991465	0.000000	-4.605170	-19.806974
330	0.033506	2.501182	-5.991465	0.000000	-4.605170	-19.806974
331	0.000000	0.000000	-5.991465	0.000000	-4.605170	-19.806974
332	7.385947	-52.908368	-7.244228	0.000000	0.000000	-122.036004
333	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
334	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
335	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
336	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
337	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
338	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
339	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
340	7.738768	-50.085794	-7.244228	0.000000	0.000000	-122.036004
341	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
342	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
343	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
344	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
345	0.155203	1.735039	-7.244228	0.000000	0.000000	-122.036004
346	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
347	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
348	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
349	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
350	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
351	7.956492	-48.344008	-7.244228	0.000000	0.000000	-122.036004
352	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
